  CTDPRS  CTDTMP  CTDSAL  CTDOXY  CHLPIG BEAM.AT   XMISS  NUMBER   QUALT1
    DBAR  ITS-90  PSS-78  uMOL/L    uG/L     1/M       %     OBS.       *
 ******* ******* ******* ******* ******* ******* *******                *
     2.0  25.930  35.206  214.10  0.0821  0.2831  93.168      28  2222233
     3.0  25.931  35.207  214.15  0.0821  0.2749  93.359      27  2222233
     4.0  25.930  35.206  213.88  0.0751  0.2713  93.441      28  2222233
     5.0  25.929  35.206  213.35  0.0833  0.2744  93.371     144  2222233
     6.0  25.921  35.206  213.38  0.0816  0.2706  93.459      23  2222233
     7.0  25.917  35.205  213.04  0.0801  0.2687  93.505      23  2222222
     8.0  25.918  35.206  213.47  0.0760  0.2689  93.498     153  2222222
     9.0  25.924  35.206  213.27  0.0815  0.2694  93.488      21  2222222
    10.0  25.925  35.206  213.18  0.0710  0.2684  93.511      27  2222222
    11.0  25.913  35.205  213.13  0.0801  0.2686  93.506     183  2222222
    12.0  25.923  35.206  212.52  0.0775  0.2681  93.517      35  2222222
    13.0  25.921  35.206  213.63  0.0831  0.2684  93.512      83  2222222
    14.0  25.919  35.205  213.57  0.0823  0.2686  93.506     106  2222222
    15.0  25.910  35.206  213.38  0.0706  0.2688  93.503      28  2222222
    16.0  25.887  35.204  213.32  0.0790  0.2694  93.488     103  2222222
    17.0  25.852  35.201  213.85  0.0819  0.2695  93.484     106  2222222
    18.0  25.769  35.198  214.38  0.0812  0.2710  93.450      25  2222222
    19.0  25.717  35.197  214.51  0.0821  0.2728  93.408      36  2222222
    20.0  25.710  35.195  214.12  0.0926  0.2719  93.427     125  2222222
    21.0  25.636  35.188  215.30  0.0930  0.2722  93.420      37  2222222
    22.0  25.540  35.177  217.26  0.0821  0.2744  93.370      27  2222222
    23.0  25.453  35.170  218.52  0.0933  0.2754  93.346      29  2222222
    24.0  25.370  35.162  217.52  0.1012  0.2759  93.336     144  2222222
    25.0  25.245  35.154  219.25  0.1052  0.2756  93.342      29  2222222
    26.0  25.177  35.147  220.06  0.0936  0.2770  93.310      26  2222222
    27.0  25.134  35.144  219.39  0.1052  0.2800  93.240     101  2222222
    28.0  25.093  35.141  219.97  0.1058  0.2805  93.227      84  2222222
    29.0  25.071  35.140  219.82  0.1164  0.2816  93.203      35  2222222
    30.0  25.054  35.138  219.34  0.1255  0.2822  93.188      40  2222222
    31.0  25.038  35.136  219.74  0.1297  0.2797  93.246     112  2222222
    32.0  25.000  35.133  220.06  0.1286  0.2793  93.256      45  2222222
    33.0  24.985  35.135  219.98  0.1165  0.2767  93.316      75  2222222
    34.0  24.958  35.132  220.32  0.1240  0.2753  93.349      72  2222222
    35.0  24.885  35.128  221.40  0.1103  0.2769  93.311      41  2222222
    36.0  24.852  35.125  221.35  0.1271  0.2776  93.297      67  2222222
    37.0  24.845  35.123  220.60  0.1216  0.2769  93.312      91  2222222
    38.0  24.778  35.117  222.53  0.1179  0.2782  93.282      58  2222222
    39.0  24.760  35.122  221.46  0.1332  0.2785  93.274      82  2222222
    40.0  24.774  35.135  222.05  0.1316  0.2753  93.348      50  2222222
    41.0  24.760  35.139  221.01  0.1284  0.2748  93.360      44  2222222
    42.0  24.725  35.139  221.44  0.1224  0.2743  93.373     146  2222222
    43.0  24.695  35.139  221.96  0.1268  0.2734  93.394      35  2222222
    44.0  24.666  35.140  223.19  0.1279  0.2739  93.381      24  2222222
    45.0  24.671  35.139  222.05  0.1290  0.2743  93.372      87  2222222
    46.0  24.646  35.138  221.72  0.1303  0.2748  93.360     107  2222222
    47.0  24.627  35.137  222.48  0.1284  0.2743  93.373      22  2222222
    48.0  24.607  35.134  221.52  0.1284  0.2746  93.364      26  2222222
    49.0  24.600  35.135  222.15  0.1353  0.2742  93.376     162  2222222
    50.0  24.552  35.140  222.28  0.1292  0.2736  93.389      28  2222222
    51.0  24.510  35.135  222.72  0.1399  0.2740  93.380      24  2222222
    52.0  24.513  35.135  223.05  0.1410  0.2760  93.332     118  2222222
    53.0  24.478  35.133  223.45  0.1499  0.2780  93.286      68  2222222
    54.0  24.447  35.134  223.27  0.1372  0.2760  93.333      21  2222222
    55.0  24.441  35.135  222.75  0.1311  0.2754  93.347      29  2222222
    56.0  24.452  35.133  222.88  0.1511  0.2760  93.332     160  2222222
    57.0  24.427  35.135  223.03  0.1558  0.2752  93.351      29  2222222
    58.0  24.379  35.140  222.28  0.1429  0.2748  93.360      27  2222222
    59.0  24.382  35.141  223.15  0.1548  0.2738  93.383     146  2222222
    60.0  24.358  35.145  222.45  0.1668  0.2736  93.390      37  2222222
    61.0  24.298  35.154  222.07  0.1514  0.2735  93.391      27  2222222
    62.0  24.259  35.156  223.08  0.1629  0.2738  93.384      96  2222222
    63.0  24.260  35.154  222.63  0.1771  0.2731  93.400      82  2222222
    64.0  24.157  35.151  223.37  0.1633  0.2750  93.355      35  2222222
    65.0  24.118  35.147  223.49  0.1807  0.2731  93.400      51  2222222
    66.0  24.099  35.145  224.05  0.1851  0.2736  93.389     117  2222222
    67.0  24.046  35.142  223.75  0.1724  0.2739  93.381      33  2222222
    68.0  23.930  35.141  224.50  0.1754  0.2734  93.394      43  2222222
    69.0  23.877  35.143  224.29  0.1904  0.2747  93.364     132  2222222
    70.0  23.787  35.146  224.90  0.1936  0.2744  93.371      35  2222222
    71.0  23.757  35.146  224.96  0.1930  0.2770  93.311      37  2222222
    72.0  23.733  35.145  224.56  0.2090  0.2749  93.357     114  2222222
    73.0  23.670  35.145  224.94  0.2149  0.2746  93.366      50  2222222
    74.0  23.599  35.147  224.13  0.2041  0.2744  93.369      37  2222222
    75.0  23.547  35.157  223.92  0.2115  0.2738  93.384      78  2222222
    76.0  23.518  35.161  224.00  0.2307  0.2737  93.385     103  2222222
    77.0  23.412  35.166  222.84  0.2230  0.2757  93.340      34  2222222
    78.0  23.376  35.167  222.52  0.2143  0.2746  93.364      31  2222222
    79.0  23.386  35.165  222.71  0.2248  0.2730  93.403     149  2222222
