Station,Cast,Depth,Lat,Lon,Date,SLA_cm,Nitrate,Nitrite,Ammonia,Orthophosphate,Fe2,Zn2,Cadmium,Ni,Copper,Pb,Mn,Cobalt_ion,dATP_ng_L,pATP_ng_l,r14C_PP,Turnover_32PO4,Turnover_32ATP,GOP_mmol_m3_d
4,2,5,27.950666,157.2837,736875.55,-3.92,2.197486,0.732495333,30,29.829118,,,,,,,,,,,,,,
4,2,15,27.950666,157.2837,736875.55,-3.92,1.535501,0.511833667,30,27.522333,0.051,0.531,0.005,2.302,0.541,63.8,746.4,0.0022,21.96214095,34.95128158,7.944857946,9.90794705,4.330155434,0.854551433
4,2,45,27.950666,157.2837,736875.55,-3.92,1.498978,0.499659333,30,,,,,,,,,,,,,,,
4,2,75,27.950666,157.2837,736875.55,-3.92,1.728241,0.576080333,30,51.599375,,,,,,,,,,,,,,
4,2,100,27.950666,157.2837,736875.55,-3.92,3.551508,1.183836,30,85.828392,,,,,,,,,,,,,,
4,2,105,27.950666,157.2837,736875.55,-3.92,11.557807,3.852602333,30,91.327147,,,,,,,,,,,,,,
4,3,118,27.950666,157.2837,736875.55,-3.92,,,30,112.98491,,,,,,,,,27.90696158,27.13032786,6.687556544,77.92514451,12.97569934,
4,2,125,27.950666,157.2837,736875.55,-3.92,1893.638265,631.212755,30,216.684745,,,,,,,,,,,,,,
4,2,150,27.950666,157.2837,736875.55,-3.92,4234.095302,1411.365101,30,351.394975,,,,,,,,,,,,,,
4,2,175,27.950666,157.2837,736875.55,-3.92,5273.792,1757.930667,30,420.949109,,,,,,,,,,,,,,
4,2,200,27.950666,157.2837,736875.55,-3.92,6427.099776,2142.366592,30,,0.19,0.314,0.101,2.787,0.755,93.2,226.8,0.0087,,,,,,
4,2,250,27.950666,157.2837,736875.55,-3.92,9313.938185,3104.646062,30,,0.342,0.634,0.209,3.912,1.039,122.9,193.2,0.0089,,,,,,
4,,300,27.950666,157.2837,736875.55,-3.92,,,30,,0.382,1.123,0.211,3.262,0.959,106,203.5,0.0151,,,,,,
4,2,500,27.950666,157.2837,736875.55,-3.92,26101.96965,8700.65655,30,,,,,,,,,,,,,,,
5,2,5,27.18,157.6075,736876,18.34,2.114249,0.704749667,30,42.158487,,,,,,,,,,,,,,
5,2,15,27.18,157.6075,736876,18.34,2.181214,0.727071333,30,41.561905,0.226,0.192,0.011,2.352,0.529,54.5,932,0.0019,,,,,,
5,,30,27.18,157.6075,736876,18.34,,,30,,0.228,0.342,0.008,2.452,0.519,98.1,905.2,0.0005,,,,,,
5,2,45,27.18,157.6075,736876,18.34,1.643233,0.547744333,30,36.073347,0.118,0.322,0.01,2.332,0.539,45.8,900.4,0.0011,,,,,,
5,2,75,27.18,157.6075,736876,18.34,1.56683,0.522276667,30,55.904008,0.084,0.164,0.005,2.273,0.552,51.7,727.5,0.0015,,,,,,
5,2,100,27.18,157.6075,736876,18.34,1.938381,0.646127,30,79.373332,0.032,0.56,0.004,2.315,0.548,67.3,650.2,0.0018,,,,,,
5,2,116,27.18,157.6075,736876,18.34,10.131084,3.377028,30,82.082863,,,,,,,,,,,,,,
5,2,125,27.18,157.6075,736876,18.34,917.79965,305.9332167,30,175.066288,0.078,0.039,0.01,2.312,0.519,64.2,616.1,0.0026,,,,,,
5,2,150,27.18,157.6075,736876,18.34,1349.195604,449.731868,30,196.303103,0.087,0.072,0.009,2.432,0.509,70.2,522.6,0.0027,,,,,,
5,2,175,27.18,157.6075,736876,18.34,1848.092813,616.0309377,30,218.720873,0.069,0.421,0.01,2.347,0.541,73.8,403.6,0.0035,,,,,,
5,2,200,27.18,157.6075,736876,18.34,2504.499389,834.8331297,30,,0.072,0.244,0.034,2.462,0.619,80.5,442.2,0.0058,,,,,,
5,2,250,27.18,157.6075,736876,18.34,5565.675519,1855.225173,30,,0.08,0.181,0.085,2.732,0.679,86.4,279.4,0.0089,,,,,,
5,,300,27.18,157.6075,736876,18.34,,,30,,0.085,0.766,0.17,2.992,0.809,91.7,202.7,0.0146,,,,,,
5,2,500,27.18,157.6075,736876,18.34,23122.71974,7707.573247,30,,,,,,,,,,,,,,,
6,1,5,26.3701666,158.010833,736876.27,25.21,5.281867,1.760622333,30,43.033474,,,,,,,,,,,,,,
6,1,15,26.3701666,158.010833,736876.27,25.21,5.554545,1.851515,30,42.874386,0.308,0.669,,2.339,0.619,62.7,718.3,0.0009,,,,,,0.784257502
6,,30,26.3701666,158.010833,736876.27,25.21,,,30,,0.408,0.98,,2.374,0.672,89.9,727.3,0.0009,,,,,,
6,1,45,26.3701666,158.010833,736876.27,25.21,3.246283,1.082094333,30,40.050563,0.241,0.166,,2.369,0.612,52,725,0.0009,,,,,,
6,1,75,26.3701666,158.010833,736876.27,25.21,4.571871,1.523957,30,45.862804,0.194,0.881,,2.281,0.589,58,677.6,0.0015,,,,,,
6,1,100,26.3701666,158.010833,736876.27,25.21,2.340983,0.780327667,30,73.595655,0.134,0.867,,2.31,0.554,65.5,646.9,0.0019,,,,,,
6,1,125,26.3701666,158.010833,736876.27,25.21,3.095288,1.031762667,30,88.062537,0.14,0.131,,2.256,0.519,66.7,571.7,0.0022,,,,,,
6,1,150,26.3701666,158.010833,736876.27,25.21,55.657832,18.55261067,30,79.022129,0.12,0.07,,2.3,0.554,70.2,565.2,0.0021,,,,,,
6,1,175,26.3701666,158.010833,736876.27,25.21,300.65534,100.2184467,30,91.585039,0.266,0.162,,2.269,0.574,75.6,547.2,0.0025,,,,,,
6,1,200,26.3701666,158.010833,736876.27,25.21,685.693766,228.5645887,30,,0.186,0.143,,2.26,0.565,74.4,501.3,0.002,,,,,,
6,1,250,26.3701666,158.010833,736876.27,25.21,2081.540292,693.846764,30,,0.144,0.095,0.005,2.358,0.593,80.8,417.2,0.0021,,,,,,
6,,300,26.3701666,158.010833,736876.27,25.21,,,30,,0.465,0.584,0.067,2.571,0.856,143.3,228.1,0.004,,,,,,
6,1,500,26.3701666,158.010833,736876.27,25.21,20690.9985,6896.9995,30,,,,,,,,,,,,,,,
7,3,5,26.17,158.02166,736876.64,22.8,1.609826,0.536608667,30,45.578892,,,,,,,,,,,,,,
7,3,15,26.17,158.02166,736876.64,22.8,1.89883,0.632943333,30,40.36874,0.228,0.684,0.0059,2.312,0.559,55.9,916.9,0.0009,33.41947407,24.45034213,8.216846712,13.21857287,3.577010219,0.821747097
7,,30,26.17,158.02166,736876.64,22.8,,,30,,0.258,0.318,0.0013,2.442,0.559,66.6,850.9,0.0008,,,,,,
7,3,45,26.17,158.02166,736876.64,22.8,2.115714,0.705238,30,35.95403,0.219,0.487,0.0023,2.282,0.519,49.3,884.3,0.0011,,,,,,
7,3,75,26.17,158.02166,736876.64,22.8,2.398574,0.799524667,30,44.268962,0.201,0.737,0.0024,2.332,0.679,55.9,860.5,0.0008,,,,,,
7,3,100,26.17,158.02166,736876.64,22.8,2.029295,0.676431667,30,72.479965,0.12,0.343,,2.287,0.552,61,657.1,0.0013,,,,,,
7,3,125,26.17,158.02166,736876.64,22.8,17.605562,5.868520667,30,99.118712,0.079,0.178,0.0074,2.232,0.509,59.9,745.7,0.0023,22.04795232,26.92338059,4.47873304,90.66289484,20.09086298,
7,2,140,26.17,158.02166,736876.64,22.8,,,30,110.626836,0.09,0.637,,2.331,0.681,66.3,522.4,0.0025,,,,,,
7,3,150,26.17,158.02166,736876.64,22.8,735.804028,245.2680093,30,125.344041,0.141,0.299,,2.301,0.581,74.1,514.3,0.002,,,,,,
7,3,175,26.17,158.02166,736876.64,22.8,552.18535,184.0617833,30,107.222502,,,,,,,,,,,,,,
7,3,200,26.17,158.02166,736876.64,22.8,1081.665634,360.5552113,30,,0.113,0.484,0.0118,2.402,0.559,79.2,567.5,0.0031,,,,,,
7,3,250,26.17,158.02166,736876.64,22.8,4028.409118,1342.803039,30,,,,,,,,,,,,,,,
7,,300,26.17,158.02166,736876.64,22.8,,,30,,0.116,0.27,0.1122,2.852,0.779,94.8,244.9,0.0078,,,,,,
7,3,500,26.17,158.02166,736876.64,22.8,20248.40577,6749.46859,30,,,,,,,,,,,,,,,
8,2,5,25.925,158.1233,736876.84,17.93,3.640871,1.213623667,30,48.442488,,,,,,,,,,,,,,
8,2,15,25.925,158.1233,736876.84,17.93,3.936063,1.312021,30,48.800437,0.275,0.466,0.0044,2.352,0.499,46.4,890,0.0005,,,,,,
8,2,45,25.925,158.1233,736876.84,17.93,5.159325,1.719775,30,39.81193,,,,,,,,,,,,,,
8,2,75,25.925,158.1233,736876.84,17.93,3.171695,1.057231667,30,39.009283,,,,,,,,,,,,,,
8,2,100,25.925,158.1233,736876.84,17.93,2.216954,0.738984667,30,73.715193,,,,,,,,,,,,,,
8,2,110,25.925,158.1233,736876.84,17.93,1.96899,0.65633,30,76.783339,,,,,,,,,,,,,,
8,2,125,25.925,158.1233,736876.84,17.93,567.693632,189.2312107,30,141.755233,,,,,,,,,,,,,,
8,2,150,25.925,158.1233,736876.84,17.93,1287.18023,429.0600767,30,167.491892,,,,,,,,,,,,,,
8,2,175,25.925,158.1233,736876.84,17.93,1151.243456,383.7478187,30,159.388102,,,,,,,,,,,,,,
8,2,200,25.925,158.1233,736876.84,17.93,2098.762547,699.5875157,30,,,,,,,,,,,,,,,
8,2,250,25.925,158.1233,736876.84,17.93,4507.861888,1502.620629,30,,,,,,,,,,,,,,,
8,2,500,25.925,158.1233,736876.84,17.93,22354.74096,7451.58032,30,,,,,,,,,,,,,,,
9,3,5,25.68,158.225,736877.05,10.35,1.754865,0.584955,30,47.766361,,,,,,,,,,,,,,
9,3,15,25.68,158.225,736877.05,10.35,1.920998,0.640332667,30,47.607272,0.396,0.249,,2.291,0.544,53.6,733.3,0.0008,,,,,,
9,3,45,25.68,158.225,736877.05,10.35,0.887062,0.295687333,30,34.2836,,,,,,,,,,,,,,
9,3,75,25.68,158.225,736877.05,10.35,3.478518,1.159506,30,50.763868,,,,,,,,,,,,,,
9,3,100,25.68,158.225,736877.05,10.35,9.00487,3.001623333,30,70.726739,,,,,,,,,,,,,,
9,3,110,25.68,158.225,736877.05,10.35,176.362626,58.787542,30,93.31945,,,,,,,,,,,,,,
9,3,125,25.68,158.225,736877.05,10.35,770.361955,256.7873183,30,135.891185,,,,,,,,,,,,,,
9,3,150,25.68,158.225,736877.05,10.35,1439.473343,479.8244477,30,178.405538,,,,,,,,,,,,,,
9,3,175,25.68,158.225,736877.05,10.35,2736.652324,912.2174413,30,260.868723,,,,,,,,,,,,,,
9,3,200,25.68,158.225,736877.05,10.35,3555.931578,1185.310526,30,,,,,,,,,,,,,,,
9,3,250,25.68,158.225,736877.05,10.35,7014.278548,2338.092849,30,,,,,,,,,,,,,,,
9,3,500,25.68,158.225,736877.05,10.35,23154.87753,7718.29251,30,,,,,,,,,,,,,,,
10,1,5,25.4316,158.3266,736877.16,1.11,2.438331,0.812777,30,40.448284,,,,,,,,,,,,,,
10,1,15,25.4316,158.3266,736877.16,1.11,4.256537,1.418845667,30,40.885778,0.344,1.1,,2.277,0.609,58.4,732.1,0.0019,,,,,,0.686699195
10,,30,25.4316,158.3266,736877.16,1.11,,,30,,0.236,0.487,0.0006,2.291,0.604,68.8,704.5,0.0005,,,,,,
10,1,45,25.4316,158.3266,736877.16,1.11,6.371287,2.123762333,30,34.721093,0.141,0.209,,2.258,0.577,55.6,673.5,0.0007,,,,,,
10,1,75,25.4316,158.3266,736877.16,1.11,2.422167,0.807389,30,42.236813,0.081,0.814,,2.208,0.556,57,601.5,0.001,,,,,,
10,1,100,25.4316,158.3266,736877.16,1.11,4.007378,1.335792667,30,88.537924,0.07,0.105,,2.272,0.565,61.1,546.2,0.0018,,,,,,
10,1,123,25.4316,158.3266,736877.16,1.11,501.242553,167.080851,30,116.988003,0.104,0.241,0.004,2.414,0.601,76.4,444.7,0.003,,,,,,
10,1,125,25.4316,158.3266,736877.16,1.11,624.50395,208.1679833,30,129.253407,,,,,,,,,,,,,,
10,1,150,25.4316,158.3266,736877.16,1.11,1255.854664,418.6182213,30,167.410447,,,,,,,,,,,,,,
10,1,175,25.4316,158.3266,736877.16,1.11,1919.817956,639.9393187,30,208.377343,0.171,0.147,0.0157,2.389,0.679,85.3,360.6,0.002,,,,,,
10,1,200,25.4316,158.3266,736877.16,1.11,1868.957445,622.985815,30,,0.085,0.066,0.0231,2.442,0.579,76.6,440.6,0.004,,,,,,
10,1,250,25.4316,158.3266,736877.16,1.11,6075.117371,2025.039124,30,,0.079,0.242,0.087,2.612,0.729,89.8,284,0.008,,,,,,
