Station,Lat,Lon,Date,Depth,Chl_GFF,Chl_0_2,Chl_5,Chl_2to5,Chl_0_2to2,Chl_10,Chl_5to10,Hbac1,Cyrptophytes,Cocolithophores,Syn,Pro,Peuk,Hbac2,Neuk,DMSP_particulate,DMSP_dissolved_plus_particulate,DMS_dissolved_plus_particulate,GP,GP_se,NCP,DCR,HPLC_Allo,HPLC_19But,HPLC_Chl_b,HPLC_Chl_c2,HPLC_Chl_c3,HPLC_Chl_a,HPLC_Diad,HPLC_dv_Chl_a,HPLC_dv_Chl_b,HPLC_Fuco,HPLC_19Hex,HPLC_Peri,HPLC_Viol,HPLC_Zea,Ammonium,Nitrite,NitratePlusNitrite,Orthophosphate,Silicate,POC,PON,PP_14C_0_2to2,PP_14C_2plus,Zinser_QPCR,HLI,HLII,Zinser_MIT_9211,LLI,LLII_LLIII,LLIV,Density,Temp,Salinity,PAR,Fluor_Chl_a,kd412,kd443,kd490,kd510,kd560,kd620,kd665,kd685,Dist
PO4,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1000,0,0,1,,,,,,,,,,,,,,25,,,,,,,,,,,,
PO4,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1000,0,0,1.023371799,,,,,,,,,,,,,,25,,,,,,,,,,,,
PO4,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1000,0,0,1.047289838,,,,,,,,,,,,,,25,,,,,,,,,,,,
PO4,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1000,0,0,1.071766885,,,,,,,,,,,,,,25,,,,,,,,,,,,
PO4,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1000,0,0,1.096816005,,,,,,,,,,,,,,25,,,,,,,,,,,,
PO4,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1000,0,0,1.122450568,,,,,,,,,,,,,,25,,,,,,,,,,,,
PO4,,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1000,0,0,1.148684257,,,,,,,,,,,,,,25,,,,,,,,,,,,
PO4,,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1000,0,0,1.175531074,,,,,,,,,,,,,,25,,,,,,,,,,,,
PO4,,,,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1000,0,0,1.203005349,,,,,,,,,,,,,,25,,,,,,,,,,,,
PO4,,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1000,0,0,1.231121748,,,,,,,,,,,,,,25,,,,,,,,,,,,
PO4,,,,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1000,0,0,1.259895278,,,,,,,,,,,,,,25,,,,,,,,,,,,
PO4,,,,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1000,0,0,1.289341297,,,,,,,,,,,,,,25,,,,,,,,,,,,
PO4,,,,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1000,0,0,1.319475522,,,,,,,,,,,,,,25,,,,,,,,,,,,
PO4,,,,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1000,0,0,1.350314038,,,,,,,,,,,,,,25,,,,,,,,,,,,
PO4,,,,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1000,0,0,1.381873306,,,,,,,,,,,,,,25,,,,,,,,,,,,
PO4,,,,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1000,0,0,1.41417017,,,,,,,,,,,,,,25,,,,,,,,,,,,
PO4,,,,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1000,0,0,1.447221871,,,,,,,,,,,,,,25,,,,,,,,,,,,
PO4,,,,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1000,0,0,1.481046049,,,,,,,,,,,,,,25,,,,,,,,,,,,
PO4,,,,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1000,0,0,1.515660759,,,,,,,,,,,,,,25,,,,,,,,,,,,
PO4,,,,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1000,0,0,1.551084477,,,,,,,,,,,,,,25,,,,,,,,,,,,
PO4,,,,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1000,0,0,1.587336111,,,,,,,,,,,,,,25,,,,,,,,,,,,
PO4,,,,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1000,0,0,1.624435011,,,,,,,,,,,,,,25,,,,,,,,,,,,
PO4,,,,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1000,0,0,1.662400979,,,,,,,,,,,,,,25,,,,,,,,,,,,
PO4,,,,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1000,0,0,1.70125428,,,,,,,,,,,,,,25,,,,,,,,,,,,
